| table_name             | column_name          | data_type                | is_nullable | column_default             |
| ---------------------- | -------------------- | ------------------------ | ----------- | -------------------------- |
| analysis_jobs          | id                   | uuid                     | NO          | gen_random_uuid()          |
| analysis_jobs          | portfolio_id         | uuid                     | NO          | null                       |
| analysis_jobs          | creator_id           | uuid                     | NO          | null                       |
| analysis_jobs          | status               | text                     | NO          | 'pending'::text            |
| analysis_jobs          | progress             | double precision         | YES         | 0                          |
| analysis_jobs          | error                | text                     | YES         | null                       |
| analysis_jobs          | created_at           | timestamp with time zone | YES         | now()                      |
| analysis_jobs          | updated_at           | timestamp with time zone | YES         | now()                      |
| analysis_jobs          | completed_at         | timestamp with time zone | YES         | null                       |
| creators               | id                   | uuid                     | NO          | uuid_generate_v4()         |
| creators               | profile_id           | uuid                     | YES         | null                       |
| creators               | username             | text                     | NO          | null                       |
| creators               | location             | text                     | YES         | null                       |
| creators               | bio                  | text                     | YES         | null                       |
| creators               | primary_role         | ARRAY                    | YES         | null                       |
| creators               | social_links         | jsonb                    | YES         | '{}'::jsonb                |
| creators               | years_of_experience  | integer                  | YES         | null                       |
| creators               | created_at           | timestamp with time zone | YES         | now()                      |
| creators               | updated_at           | timestamp with time zone | YES         | now()                      |
| creators               | portfolio_scraped    | boolean                  | YES         | false                      |
| creators               | last_scraped         | timestamp with time zone | YES         | null                       |
| creators               | status               | text                     | NO          | 'pending'::text            |
| creators               | work_email           | text                     | YES         | null                       |
| creators               | banner_url           | text                     | YES         | null                       |
| creators               | avatar_url           | text                     | YES         | null                       |
| images                 | id                   | uuid                     | NO          | uuid_generate_v4()         |
| images                 | project_id           | uuid                     | NO          | null                       |
| images                 | creator_id           | uuid                     | NO          | null                       |
| images                 | url                  | text                     | NO          | null                       |
| images                 | alt_text             | text                     | YES         | null                       |
| images                 | resolutions          | jsonb                    | YES         | '{}'::jsonb                |
| images                 | ai_analysis          | text                     | YES         | null                       |
| images                 | embedding            | USER-DEFINED             | YES         | null                       |
| images                 | order                | integer                  | YES         | null                       |
| images                 | created_at           | timestamp with time zone | YES         | now()                      |
| images                 | updated_at           | timestamp with time zone | YES         | now()                      |
| images                 | failed_analysis      | boolean                  | YES         | false                      |
| images                 | failure_reason       | text                     | YES         | null                       |
| images                 | analysis_status      | USER-DEFINED             | YES         | 'pending'::analysis_status |
| images                 | analysis_error       | text                     | YES         | null                       |
| organizations          | id                   | uuid                     | NO          | uuid_generate_v4()         |
| organizations          | name                 | character varying        | NO          | null                       |
| organizations          | logo_url             | character varying        | YES         | null                       |
| organizations          | website              | character varying        | YES         | null                       |
| organizations          | created_at           | timestamp with time zone | YES         | CURRENT_TIMESTAMP          |
| organizations          | updated_at           | timestamp with time zone | YES         | CURRENT_TIMESTAMP          |
| portfolios             | id                   | uuid                     | NO          | uuid_generate_v4()         |
| portfolios             | creator_id           | uuid                     | NO          | null                       |
| portfolios             | ai_analysis          | text                     | YES         | null                       |
| portfolios             | embedding            | USER-DEFINED             | YES         | null                       |
| portfolios             | last_updated         | timestamp with time zone | YES         | null                       |
| portfolios             | created_at           | timestamp with time zone | YES         | now()                      |
| portfolios             | updated_at           | timestamp with time zone | YES         | now()                      |
| portfolios             | analysis_status      | USER-DEFINED             | YES         | 'pending'::analysis_status |
| portfolios             | analysis_error       | text                     | YES         | null                       |
| profiles               | id                   | uuid                     | NO          | null                       |
| profiles               | first_name           | text                     | YES         | null                       |
| profiles               | last_name            | text                     | YES         | null                       |
